,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
136,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
138,-,-,-,-,0.0,-,-,-,-,0.1,-,-,-,-,-,0.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,-,-,-,-,-,0.0,-,-,-,-,-,-,0.0,-,-,-,0.0,0.0,-,0.0,-,-,-,-,-,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,-,-,-,-,-,-,-,-,-,0.1,-,-,-,-,0.1,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,-,-,0.0,-,-,0.0,0.2,-,-,0.0,-,0.1,0.0,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142,-,0.0,-,0.0,-,-,0.1,0.1,0.1,0.1,0.0,0.1,0.0,-,-,-,-,-,-,0.2,-,-,-,0.0,0.1,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,-,-,0.1,0.2,0.1,0.1,0.0,0.2,0.1,0.1,0.0,0.2,0.2,0.2,0.0,-,-,0.1,0.1,0.1,-,0.0,0.1,-,-,-,0.0,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,0.0,-,-,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.0,0.1,0.2,0.0,0.1,0.2,0.2,-,-,0.2,0.1,0.0,0.1,0.0,-,0.0,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,-,-,0.0,-,0.1,0.1,0.3,0.6,0.4,0.2,0.3,0.1,0.2,-,0.4,0.2,-,0.0,0.0,0.1,0.1,0.1,-,0.1,-,0.0,0.0,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
146,-,0.3,0.0,0.1,0.2,0.1,0.1,0.5,0.5,0.4,0.2,0.4,0.5,0.7,0.2,0.5,0.8,0.1,0.3,0.2,0.1,0.2,0.0,-,-,0.0,-,0.0,0.0,-,-,0.0,0.0,-,0.0,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
147,-,-,0.1,0.2,0.0,0.2,0.2,0.4,0.3,0.7,0.6,0.4,0.4,0.5,0.6,0.9,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.1,0.1,0.2,-,0.0,0.2,0.0,0.0,0.0,-,0.0,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,0.0,-,0.0,0.1,0.0,0.8,0.5,0.4,0.9,1.0,1.0,0.7,1.1,0.9,1.4,1.1,0.6,0.8,0.5,0.3,0.3,0.3,0.2,0.0,0.0,0.1,0.0,0.1,0.1,-,0.0,0.2,-,-,0.1,-,0.0,-,0.0,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
